Threads,MatrixSize,MinValue,MaxValue,Time(ms)
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,200,0,100,0
12,200,0,100,0
12,200,0,100,0
12,200,0,100,0
12,200,0,100,0
12,200,0,100,0
12,300,0,100,3
12,300,0,100,2
12,300,0,100,2
12,300,0,100,2
12,300,0,100,3
12,300,0,100,3
12,400,0,100,6
12,400,0,100,6
12,400,0,100,6
12,400,0,100,6
12,400,0,100,6
12,400,0,100,6
12,500,0,100,15
12,500,0,100,15
12,500,0,100,15
12,500,0,100,15
12,500,0,100,15
12,500,0,100,16
12,600,0,100,34
12,600,0,100,35
12,600,0,100,35
12,600,0,100,35
12,600,0,100,35
12,600,0,100,35
12,700,0,100,66
12,700,0,100,66
12,700,0,100,67
12,700,0,100,65
12,700,0,100,68
12,700,0,100,66
12,800,0,100,257
12,800,0,100,257
12,800,0,100,258
12,800,0,100,257
12,800,0,100,260
12,800,0,100,258
12,900,0,100,457
12,900,0,100,457
12,900,0,100,457
12,900,0,100,457
12,900,0,100,457
12,900,0,100,458
12,1000,0,100,208
12,1000,0,100,208
12,1000,0,100,208
12,1000,0,100,695
12,1000,0,100,208
12,1000,0,100,695
8,100,0,100,0
8,100,0,100,0
8,100,0,100,0
8,100,0,100,0
8,100,0,100,0
8,100,0,100,0
8,200,0,100,1
8,200,0,100,1
8,200,0,100,0
8,200,0,100,1
8,200,0,100,1
8,200,0,100,1
8,300,0,100,4
8,300,0,100,4
8,300,0,100,3
8,300,0,100,3
8,300,0,100,3
8,300,0,100,4
8,400,0,100,8
8,400,0,100,8
8,400,0,100,8
8,400,0,100,8
8,400,0,100,8
8,400,0,100,9
8,500,0,100,22
8,500,0,100,22
8,500,0,100,22
8,500,0,100,22
8,500,0,100,22
8,500,0,100,22
8,600,0,100,50
8,600,0,100,50
8,600,0,100,50
8,600,0,100,50
8,600,0,100,50
8,600,0,100,50
8,700,0,100,87
8,700,0,100,85
8,700,0,100,86
8,700,0,100,85
8,700,0,100,86
8,700,0,100,86
8,800,0,100,380
8,800,0,100,381
8,800,0,100,381
8,800,0,100,381
8,800,0,100,382
8,800,0,100,383
8,900,0,100,688
8,900,0,100,688
8,900,0,100,688
8,900,0,100,689
8,900,0,100,687
8,900,0,100,687
8,1000,0,100,1043
8,1000,0,100,290
8,1000,0,100,1042
8,1000,0,100,291
8,1000,0,100,290
8,1000,0,100,1041
4,100,0,100,0
4,100,0,100,0
4,100,0,100,0
4,100,0,100,0
4,100,0,100,0
4,100,0,100,0
4,200,0,100,2
4,200,0,100,2
4,200,0,100,2
4,200,0,100,2
4,200,0,100,2
4,200,0,100,2
4,300,0,100,7
4,300,0,100,7
4,300,0,100,7
4,300,0,100,7
4,300,0,100,8
4,300,0,100,7
4,400,0,100,17
4,400,0,100,17
4,400,0,100,17
4,400,0,100,17
4,400,0,100,17
4,400,0,100,17
4,500,0,100,44
4,500,0,100,44
4,500,0,100,44
4,500,0,100,44
4,500,0,100,44
4,500,0,100,44
4,600,0,100,100
4,600,0,100,100
4,600,0,100,99
4,600,0,100,100
4,600,0,100,100
4,600,0,100,100
4,700,0,100,163
4,700,0,100,163
4,700,0,100,164
4,700,0,100,164
4,700,0,100,164
4,700,0,100,163
4,800,0,100,773
4,800,0,100,760
4,800,0,100,760
4,800,0,100,758
4,800,0,100,760
4,800,0,100,763
4,900,0,100,1370
4,900,0,100,1370
4,900,0,100,1371
4,900,0,100,1371
4,900,0,100,1372
4,900,0,100,1370
4,1000,0,100,2067
4,1000,0,100,465
4,1000,0,100,460
4,1000,0,100,2066
4,1000,0,100,460
4,1000,0,100,463
2,100,0,100,0
2,100,0,100,0
2,100,0,100,0
2,100,0,100,0
2,100,0,100,0
2,100,0,100,0
2,200,0,100,4
2,200,0,100,3
2,200,0,100,4
2,200,0,100,3
2,200,0,100,3
2,200,0,100,3
2,300,0,100,15
2,300,0,100,15
2,300,0,100,15
2,300,0,100,15
2,300,0,100,15
2,300,0,100,15
2,400,0,100,35
2,400,0,100,35
2,400,0,100,35
2,400,0,100,35
2,400,0,100,35
2,400,0,100,35
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,800,0,100,1521
2,800,0,100,1516
2,800,0,100,1516
2,800,0,100,1518
2,800,0,100,432
2,800,0,100,1514
2,900,0,100,642
2,900,0,100,642
2,900,0,100,643
2,900,0,100,2648
2,900,0,100,2648
2,900,0,100,642
2,1000,0,100,905
2,1000,0,100,903
2,1000,0,100,904
2,1000,0,100,905
2,1000,0,100,905
2,1000,0,100,905
1,100,0,100,0
1,100,0,100,0
1,100,0,100,1
1,100,0,100,1
1,100,0,100,1
1,100,0,100,0
1,200,0,100,7
1,200,0,100,7
1,200,0,100,7
1,200,0,100,6
1,200,0,100,7
1,200,0,100,7
1,300,0,100,30
1,300,0,100,29
1,300,0,100,29
1,300,0,100,29
1,300,0,100,29
1,300,0,100,30
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,500,0,100,176
1,500,0,100,176
1,500,0,100,176
1,500,0,100,176
1,500,0,100,176
1,500,0,100,177
1,600,0,100,396
1,600,0,100,396
1,600,0,100,396
1,600,0,100,396
1,600,0,100,395
1,600,0,100,395
1,700,0,100,647
1,700,0,100,647
1,700,0,100,647
1,700,0,100,647
1,700,0,100,647
1,700,0,100,646
1,800,0,100,2898
1,800,0,100,2896
1,800,0,100,2902
1,800,0,100,2901
1,800,0,100,2908
1,800,0,100,863
1,900,0,100,1262
1,900,0,100,5058
1,900,0,100,1285
1,900,0,100,1284
1,900,0,100,1240
1,900,0,100,1284
1,1000,0,100,1803
1,1000,0,100,1803
1,1000,0,100,1802
1,1000,0,100,1803
1,1000,0,100,1803
1,1000,0,100,1800
